Date,Open,High,Low,Close,Adj Close,Volume
2017-07-07,2387000.000000,2406000.000000,2381000.000000,2393000.000000,2386517.500000,162638
2017-07-10,2425000.000000,2445000.000000,2416000.000000,2433000.000000,2426409.000000,215855
2017-07-11,2432000.000000,2450000.000000,2414000.000000,2450000.000000,2443363.000000,194356
2017-07-12,2450000.000000,2500000.000000,2442000.000000,2494000.000000,2487243.750000,189723
2017-07-13,2504000.000000,2547000.000000,2502000.000000,2528000.000000,2521151.750000,320683
2017-07-14,2550000.000000,2554000.000000,2521000.000000,2524000.000000,2517162.500000,164780
2017-07-17,2545000.000000,2551000.000000,2526000.000000,2532000.000000,2525141.000000,179522
2017-07-18,2521000.000000,2544000.000000,2518000.000000,2542000.000000,2535113.750000,141689
2017-07-19,2531000.000000,2541000.000000,2500000.000000,2537000.000000,2530127.250000,223150
2017-07-20,2538000.000000,2566000.000000,2528000.000000,2560000.000000,2553065.000000,167352
2017-07-21,2543000.000000,2558000.000000,2526000.000000,2554000.000000,2547081.250000,168981
2017-07-24,2535000.000000,2550000.000000,2531000.000000,2543000.000000,2536111.000000,141995
2017-07-25,2525000.000000,2538000.000000,2497000.000000,2500000.000000,2493227.500000,216212
2017-07-26,2480000.000000,2501000.000000,2465000.000000,2492000.000000,2485249.250000,224496
2017-07-27,2500000.000000,2532000.000000,2478000.000000,2490000.000000,2483254.750000,228990
2017-07-28,2490000.000000,2490000.000000,2369000.000000,2388000.000000,2381531.000000,523366
2017-07-31,2371000.000000,2412000.000000,2346000.000000,2410000.000000,2403471.500000,254028
2017-08-01,2400000.000000,2442000.000000,2377000.000000,2430000.000000,2423417.250000,227390
2017-08-02,2460000.000000,2467000.000000,2430000.000000,2450000.000000,2443363.000000,155549
2017-08-03,2450000.000000,2450000.000000,2356000.000000,2389000.000000,2382528.250000,310816
2017-08-04,2408000.000000,2409000.000000,2375000.000000,2385000.000000,2378539.000000,167184
2017-08-07,2375000.000000,2404000.000000,2372000.000000,2379000.000000,2372555.250000,144365
2017-08-08,2399000.000000,2413000.000000,2374000.000000,2386000.000000,2379536.500000,159592
2017-08-09,2370000.000000,2370000.000000,2312000.000000,2314000.000000,2307731.500000,291108
2017-08-10,2310000.000000,2316000.000000,2273000.000000,2295000.000000,2288783.000000,459723
2017-08-11,2256000.000000,2265000.000000,2211000.000000,2231000.000000,2224956.250000,508146
2017-08-14,2256000.000000,2270000.000000,2236000.000000,2250000.000000,2243904.750000,383712
