Date,Open,High,Low,Close,Adj Close,Volume
2017-06-07,153.270004,153.750000,152.339996,153.119995,153.119995,12066700
2017-06-08,154.080002,154.729996,153.100006,154.710007,154.710007,17719700
2017-06-09,154.770004,155.589996,146.610001,149.600006,149.600006,35577700
2017-06-12,148.169998,149.199997,144.559998,148.440002,148.440002,33170200
2017-06-13,150.149994,151.179993,148.899994,150.679993,150.679993,20483400
2017-06-14,151.259995,152.399994,149.050003,150.250000,150.250000,20808800
2017-06-15,147.669998,150.039993,146.369995,149.800003,149.800003,18994200
2017-06-16,149.589996,150.830002,148.600006,150.639999,150.639999,22882400
2017-06-19,151.710007,153.570007,151.710007,152.869995,152.869995,19026500
2017-06-20,152.880005,153.839996,152.210007,152.250000,152.250000,14743900
2017-06-21,152.360001,154.080002,151.880005,153.910004,153.910004,15039800
2017-06-22,153.009995,154.550003,152.910004,153.399994,153.399994,13005500
2017-06-23,152.720001,155.199997,152.649994,155.070007,155.070007,18027000
2017-06-26,156.250000,156.500000,153.199997,153.589996,153.589996,18049700
2017-06-27,152.839996,153.309998,150.389999,150.580002,150.580002,19360800
2017-06-28,150.919998,153.470001,149.860001,153.240005,153.240005,16719100
2017-06-29,152.279999,152.500000,148.919998,151.039993,151.039993,23973500
2017-06-30,151.899994,151.919998,150.059998,150.979996,150.979996,17666000
2017-07-03,151.720001,152.149994,147.800003,148.429993,148.429993,13862700
2017-07-05,149.000000,150.850006,148.130005,150.339996,150.339996,14334300
2017-07-06,149.029999,150.039993,148.000000,148.820007,148.820007,14951800
2017-07-07,149.250000,151.990005,149.190002,151.440002,151.440002,13615900
2017-07-10,151.690002,153.979996,151.509995,153.500000,153.500000,13378700
2017-07-11,153.369995,155.419998,152.910004,155.270004,155.270004,13667700
2017-07-12,156.490005,159.160004,156.199997,158.899994,158.899994,22739400
2017-07-13,158.740005,159.779999,158.419998,159.259995,159.259995,13929200
2017-07-14,160.130005,160.320007,159.330002,159.970001,159.970001,16371200
2017-07-17,160.250000,160.779999,158.809998,159.729996,159.729996,12858800
2017-07-18,159.660004,163.729996,159.419998,162.860001,162.860001,23722900
2017-07-19,163.589996,165.699997,163.169998,164.139999,164.139999,26273600
2017-07-20,164.800003,165.000000,162.809998,164.529999,164.529999,18523100
2017-07-21,164.160004,165.050003,163.750000,164.429993,164.429993,14744000
2017-07-24,164.639999,166.169998,164.309998,166.000000,166.000000,17367000
2017-07-25,165.009995,165.539993,163.860001,165.279999,165.279999,15383200
2017-07-26,166.009995,166.009995,164.100006,165.610001,165.610001,35236900
2017-07-27,174.699997,175.490005,167.500000,170.440002,170.440002,68910700
2017-07-28,169.070007,173.429993,169.050003,172.449997,172.449997,24557600
2017-07-31,172.000000,172.720001,168.550003,169.250000,169.250000,25478900
2017-08-01,169.820007,170.470001,169.050003,169.860001,169.860001,14385000
2017-08-02,170.300003,170.550003,166.910004,169.300003,169.300003,17433800
2017-08-03,169.300003,169.699997,168.250000,168.589996,168.589996,10793800
2017-08-04,168.970001,170.059998,168.690002,169.619995,169.619995,10777700
2017-08-07,169.949997,172.059998,169.660004,171.979996,171.979996,12787800
2017-08-08,171.880005,173.050003,170.619995,171.229996,171.229996,14393500
2017-08-09,169.979996,171.449997,169.559998,171.179993,171.179993,10815000
2017-08-10,170.059998,170.589996,166.850006,167.399994,167.399994,20832700
2017-08-11,167.949997,168.820007,166.850006,168.080002,168.080002,13791200
2017-08-14,170.089996,171.080002,169.289993,170.750000,170.750000,12954200
2017-08-15,171.490005,171.500000,170.009995,171.000000,171.000000,8729200
2017-08-16,171.250000,171.380005,169.240005,170.000000,170.000000,15779900
2017-08-17,169.339996,169.860001,166.850006,166.910004,166.910004,17216000
2017-08-18,166.839996,168.669998,166.210007,167.410004,167.410004,15093600
2017-08-21,167.160004,168.000000,165.820007,167.779999,167.779999,11907500
2017-08-22,168.279999,169.869995,167.149994,169.639999,169.639999,11391000
2017-08-23,168.839996,169.360001,168.199997,168.710007,168.710007,9856500
2017-08-24,168.880005,169.289993,166.410004,167.740005,167.740005,14030400
2017-08-25,167.860001,168.380005,166.179993,166.320007,166.320007,12614500
2017-08-28,166.910004,167.699997,166.330002,167.240005,167.240005,8553700
2017-08-29,165.250000,168.429993,165.000000,168.050003,168.050003,11121000
2017-08-30,168.169998,170.179993,167.630005,169.919998,169.919998,11138300
2017-08-31,170.399994,172.149994,170.059998,171.970001,171.970001,17226500
2017-09-01,172.399994,172.919998,171.309998,172.020004,172.020004,11677600
2017-09-05,171.270004,172.389999,169.550003,170.720001,170.720001,13210900
2017-09-06,170.910004,172.479996,169.570007,172.089996,172.089996,13906300
2017-09-07,171.940002,173.309998,170.270004,173.210007,173.210007,18049500
2017-09-08,173.089996,173.490005,170.800003,170.949997,170.949997,10998500
2017-09-11,172.399994,173.889999,172.199997,173.509995,173.509995,12372000
2017-09-12,173.759995,174.000000,171.750000,172.960007,172.960007,11186300
2017-09-13,173.009995,173.169998,172.059998,173.050003,173.050003,9119300
2017-09-14,172.259995,172.279999,170.500000,170.960007,170.960007,15615700
2017-09-15,170.880005,172.339996,170.259995,171.639999,171.639999,15660500
2017-09-18,171.990005,172.070007,169.339996,170.009995,170.009995,12954000
2017-09-19,170.619995,172.559998,170.360001,172.520004,172.520004,13168600
2017-09-20,172.500000,173.050003,170.699997,172.169998,172.169998,12264100
2017-09-21,171.690002,172.270004,170.009995,171.110001,171.110001,11161400
2017-09-22,170.210007,171.729996,169.220001,170.539993,170.539993,12097100
2017-09-25,169.240005,169.300003,161.559998,162.869995,162.869995,41251600
2017-09-26,164.500000,165.500000,162.779999,164.210007,164.210007,23363300
2017-09-27,165.899994,168.339996,165.570007,167.679993,167.679993,19242500
2017-09-28,167.940002,169.070007,167.160004,168.729996,168.729996,12178700
2017-09-29,168.830002,171.660004,168.809998,170.869995,170.869995,15340400
2017-10-02,171.389999,171.869995,168.750000,169.470001,169.470001,13392300
2017-10-03,169.300003,170.729996,169.199997,169.960007,169.960007,8190300
2017-10-04,169.830002,170.669998,168.289993,168.419998,168.419998,12127900
2017-10-05,169.179993,171.309998,168.600006,171.240005,171.240005,14580600
2017-10-06,170.250000,172.369995,169.750000,172.229996,172.229996,13124500
2017-10-09,172.699997,174.880005,172.000000,172.500000,172.500000,14570400
2017-10-10,173.000000,173.199997,170.800003,171.589996,171.589996,11341100
2017-10-11,171.949997,172.779999,171.399994,172.740005,172.740005,11283700
2017-10-12,172.610001,173.850006,172.289993,172.550003,172.550003,10351000
2017-10-13,173.449997,174.649994,173.199997,173.740005,173.740005,13658300
2017-10-16,174.490005,175.000000,174.059998,174.520004,174.520004,11498800
2017-10-17,174.710007,176.130005,174.360001,176.110001,176.110001,15990100
2017-10-18,176.649994,176.740005,175.750000,176.029999,176.029999,12752400
2017-10-19,174.929993,176.029999,172.630005,174.559998,174.559998,14048400
2017-10-20,175.500000,175.880005,174.630005,174.979996,174.979996,12602200
2017-10-23,175.199997,175.339996,171.250000,171.270004,171.270004,13852700
2017-10-24,172.300003,173.240005,171.500000,171.800003,171.800003,12267900
2017-10-25,171.899994,172.250000,168.889999,170.600006,170.600006,15868200
2017-10-26,171.380005,172.289993,170.389999,170.630005,170.630005,11833100
2017-10-27,174.149994,178.210007,173.899994,177.880005,177.880005,30285300
2017-10-30,179.259995,180.690002,177.610001,179.869995,179.869995,24353200
2017-10-31,180.570007,180.800003,178.940002,180.059998,180.059998,20174200
2017-11-01,182.360001,182.899994,180.570007,182.660004,182.660004,40918300
2017-11-02,180.630005,181.940002,177.339996,178.919998,178.919998,35529900
2017-11-03,179.289993,179.860001,176.710007,178.919998,178.919998,17822100
2017-11-06,178.559998,180.449997,178.309998,180.169998,180.169998,13312700
2017-11-07,180.500000,180.750000,178.960007,180.250000,180.250000,12928200
2017-11-08,179.789993,180.350006,179.110001,179.559998,179.559998,10494100
2017-11-09,178.309998,179.399994,177.089996,179.300003,179.300003,12610300
2017-11-10,178.350006,179.100006,177.960007,178.460007,178.460007,11070200
2017-11-13,177.500000,179.039993,177.300003,178.770004,178.770004,9523400
2017-11-14,178.130005,178.970001,177.179993,178.070007,178.070007,9585900
2017-11-15,176.660004,178.570007,176.399994,177.949997,177.949997,10253700
2017-11-16,178.759995,179.830002,178.500000,179.589996,179.589996,15607600
2017-11-17,179.300003,179.979996,178.899994,179.000000,179.000000,13018000
2017-11-20,178.869995,179.500000,178.100006,178.740005,178.740005,10052400
2017-11-21,179.149994,181.889999,178.990005,181.860001,181.860001,14504000
2017-11-22,181.300003,181.729996,180.440002,180.869995,180.869995,10376300
2017-11-24,180.399994,183.149994,180.289993,182.779999,182.779999,9426300
2017-11-27,182.559998,183.729996,181.990005,183.029999,183.029999,12344500
2017-11-28,183.509995,184.250000,182.089996,182.419998,182.419998,14379700
2017-11-29,181.889999,181.970001,174.000000,175.130005,175.130005,41933500
2017-11-30,176.850006,178.279999,175.199997,177.179993,177.179993,25307600
2017-12-01,176.029999,177.479996,172.339996,175.100006,175.100006,20182500
2017-12-04,176.289993,176.570007,170.789993,171.470001,171.470001,24459400
2017-12-05,170.449997,175.380005,169.009995,172.830002,172.830002,20184900
2017-12-06,172.500000,176.770004,171.899994,176.059998,176.059998,20172500
